Price,Bedroom_qty,Bathroom_qty,Floor_size,Address,City_region,City,List_type,Date,Land_width,Land_depth
"$1,998,000 ",5,4,1993,3465 E 50th Avenue,Killarney,Vancouver,Duplex,7/20/2021,50,108
"$3,200,000 ",5,2,1968,3122 W 16th Avenue,Arbutus,Vancouver,House,7/20/2021,50,150
"$1,049,900 ",2,2,1010,403 1230 Haro Street,West End,Vancouver,Apt/Condo,7/20/2021,,
"$1,899,000 ",4,2,2080,107 E 58th Avenue,South Vancouver,Vancouver,House,7/20/2021,37,110
"$838,000 ",2,2,828,104 1818 W 6th Avenue,Kitsilano,Vancouver,Apt/Condo,7/20/2021,,
"$1,079,000 ",2,2,900,1102 1618 Quebec Street,Mount Pleasant East,Vancouver,Apt/Condo,7/20/2021,,
"$688,000 ",1,1,519,1014 610 Granville Street,Downtown West,Vancouver,Apt/Condo,7/20/2021,,
"$3,380,000 ",2,2,1389,1502 620 Cardero Street,Coal Harbour,Vancouver,Apt/Condo,7/20/2021,,
"$1,700,000 ",6,4,2583,3289 E 7th Avenue,Renfrew,Vancouver,House,7/20/2021,35,122
"$1,899,000 ",3,1,1431,7506 Prince Edward Street,South Vancouver,Vancouver,House,7/20/2021,,
"$1,288,888 ",2,2,1114,301 4759 Valley Drive,Quilchena,Vancouver,Apt/Condo,7/20/2021,,
"$648,800 ",1,1,588,1508 1166 Melville Street,Coal Harbour,Vancouver,Apt/Condo,7/20/2021,,
"$1,299,000 ",3,3,1220,1809 E 13th Avenue,Grandview East,Vancouver,Duplex,7/20/2021,,
"$1,349,000 ",2,2,1209,1 2437 W 1st Avenue,Kitsilano,Vancouver,Townhouse,7/20/2021,,
"$3,999,800 ",3,2,2155,4049 W 35th Avenue,Dunbar,Vancouver,House,7/20/2021,50,130
"$570,000 ",2,1,772,304 2835 Hemlock Street,Fairview,Vancouver,Apt/Condo,7/20/2021,,
"$798,000 ",3,2,1930,3694 Borham Crescent,Champlain Heights,Vancouver,Townhouse,7/20/2021,,
"$1,899,000 ",5,3,2324,621 E 56th Avenue,South Vancouver,Vancouver,House,7/20/2021,34,108
"$335,000 ",1,1,556,306 1250 Burnaby Street,West End,Vancouver,Apt/Condo,7/20/2021,,
"$5,980,000 ",6,6,4128,4025 W 38th Avenue,Southlands,Vancouver,House,7/20/2021,50,138
"$3,990,000 ",3,2,1954,2027 W 44th Avenue,Kerrisdale,Vancouver,House,7/20/2021,60,119
"$499,000 ",1,1,454,107 528 W King Edward Avenue,Cambie,Vancouver,Apt/Condo,7/20/2021,,
"$756,000 ",2,2,1339,46 20770 97b Avenue,Walnut Grove,Langley,Townhouse,7/20/2021,,
"$1,089,000 ",4,2,1628,4887 202a Street,Langley City,Langley,House,7/20/2021,,
"$669,900 ",3,2,1592,95 7179 201 Street,Willoughby Heights,Langley,Townhouse,7/20/2021,,
"$649,999 ",3,2,1593,167 20033 70 Avenue,Willoughby Heights,Langley,Townhouse,7/20/2021,,
"$688,800 ",3,3,1548,129 20875 80 Avenue,Willoughby Heights,Langley,Townhouse,7/20/2021,,
"$1,199,900 ",4,3,2104,4983 197a Street,Langley City,Langley,House,7/20/2021,57,135
"$533,000 ",2,2,828,407 7809 209 Street,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$599,000 ",2,2,832,D411 8150 207 Street,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$569,000 ",2,2,1411,31 9036 208 Street,Walnut Grove,Langley,Townhouse,7/20/2021,,
"$749,000 ",3,2,1250,27506 31a Avenue,Aldergrove,Langley,House,7/20/2021,,
"$1,329,900 ",3,2,1484,3537 199a Street,Brookswood,Langley,House,7/20/2021,89,45
"$784,900 ",2,2,1472,319 5486 199a Street,Langley City,Langley,Apt/Condo,7/20/2021,,
"$619,900 ",2,1,1169,507 20290 86 Avenue,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$339,000 ",2,2,902,208 20727 Douglas Crescent,Langley City,Langley,Apt/Condo,7/20/2021,,
"$789,900 ",3,3,1863,56 20449 66 Avenue,Willoughby Heights,Langley,Townhouse,7/20/2021,,
"$449,000 ",2,1,840,320 20219 54a Avenue,Langley City,Langley,Apt/Condo,7/20/2021,,
"$449,000 ",1,1,607,516 5638 201a Street,Langley City,Langley,Apt/Condo,7/20/2021,,
"$509,000 ",2,1,800,202 20290 86 Avenue,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$499,900 ",2,2,820,D414 8150 207 Street,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$574,900 ",3,2,1204,2984 268a Street,Aldergrove,Langley,Townhouse,7/20/2021,,
"$599,900 ",3,1,1208,2988 268a Street,Aldergrove,Langley,Townhouse,7/20/2021,,
"$599,900 ",3,2,1208,2982 268a Street,Aldergrove,Langley,Townhouse,7/20/2021,,
"$680,000 ",2,1,796,407 1111 Lynn Valley Road,Lynn Valley,North Vancouver,Apt/Condo,7/20/2021,,
"$1,820,000 ",4,3,2108,8540 Rosehill Drive,South Arm,Richmond,House,7/20/2021,,
"$3,798,000 ",8,8,4825,939 Clements Avenue,Canyon Heights,North Vancouver,House,7/20/2021,,
"$588,000 ",1,1,670,414 365 1st Street,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$1,599,000 ",5,3,2059,1463 Avonlynn Crescent,Westlynn,North Vancouver,House,7/20/2021,,
"$799,000 ",2,2,875,305 701 W Victoria Park,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$1,248,000 ",3,3,1604,2912 Mt Seymour Parkway,Northlands,North Vancouver,Townhouse,7/20/2021,,
"$1,749,000 ",4,3,2420,3642 Sykes Road,Lynn Valley,North Vancouver,House,7/20/2021,50,127
"$749,900 ",2,2,803,213 719 W 3rd Street,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$899,900 ",2,2,988,204 747 E 3rd Street,Queensbury,North Vancouver,Apt/Condo,7/20/2021,,
"$1,048,000 ",2,2,1150,1401 120 W 16th Street,Central Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$1,599,000 ",3,2,1270,611 6622 Pearson Way,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$749,800 ",2,2,945,601 9371 Hemlock Drive,Mclennan North,Richmond,Apt/Condo,7/20/2021,,
"$699,000 ",3,3,1553,6 22800 Windsor Court,Hamilton,Richmond,Townhouse,7/20/2021,,
"$726,000 ",2,2,862,1005 5088 Kwantlen Street,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$748,888 ",2,2,860,218 9233 Odlin Road,West Cambie,Richmond,Apt/Condo,7/20/2021,,
"$425,886 ",1,1,701,230 8880 Jones Road,Brighouse South,Richmond,Apt/Condo,7/20/2021,,
"$3,698,000 ",5,6,3348,7200 Schaefer Avenue,Broadmoor,Richmond,House,7/20/2021,60,117
"$2,588,000 ",5,5,4061,6220 Udy Road,Granville,Richmond,House,7/20/2021,72,140
"$749,000 ",2,2,933,903 6351 Buswell Street,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$649,000 ",2,2,824,421 9366 Tomicki Avenue,West Cambie,Richmond,Apt/Condo,7/20/2021,,
"$649,900 ",2,2,1092,318 121 W 29th Street,Upper Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$1,199,000 ",3,3,1625,2769 Mountain Highway,Lynn Valley,North Vancouver,Townhouse,7/20/2021,,
"$199,000 ",1,1,480,C7 415 Esplanade Avenue,Lower Lonsdale,North Vancouver,House,7/20/2021,,
"$1,379,900 ",3,3,1720,3490 Mount Seymour Parkway,Northlands,North Vancouver,Townhouse,7/20/2021,,
"$1,149,999 ",3,3,1649,C 258 E 3rd Street,Lower Lonsdale,North Vancouver,Townhouse,7/20/2021,,
"$4,498,000 ",4,5,5081,4404 Parliament Crescent,Forest Hills,North Vancouver,House,7/20/2021,80,112
"$1,648,000 ",3,2,1464,2112 Mackay Avenue,Pemberton Heights,North Vancouver,House,7/20/2021,50,125
"$1,899,000 ",5,2,2365,920 Belvedere Drive,Canyon Heights,North Vancouver,House,7/20/2021,90,130
"$998,000 ",3,3,1264,12 9100 No. 3 Road,Saunders,Richmond,Townhouse,7/20/2021,,
"$999,000 ",4,4,1696,46 7288 Heather Street,Mclennan North,Richmond,Townhouse,7/20/2021,,
